file,event_id,station,network,location,channel_used,instrument_type_used,pga_g,pgv_cms,snr_db,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,sampling_rate_hz,duration_sec,num_gaps,gap_fraction,is_clipped,has_three_components,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_GELI.mseed,quakeml:eu.emsc/event/20140524_0000027,GELI,KO,,HHE,broadband,0.00231,0.1238,2.36,2014-05-24T09:31:38.240000Z,2014-05-24T09:32:09.430000Z,0.097,0.008,100.0,210.0,0,0.0,False,True,True,False,True,,0.00488,0.00471,0.00077,0.00036,0.00012,3.4e-05,0.0963,163.28,0.176,13.406
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_GONE.mseed,quakeml:eu.emsc/event/20140524_0000027,GONE,KO,,HNE,strong_motion,0.00021,0.0705,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00041,0.00067,0.00015,7e-05,8e-05,2e-06,0.0356,182.16,0.195,15.051
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_TKR.mseed,quakeml:eu.emsc/event/20140524_0000027,TKR,KO,,HNE,strong_motion,0.00157,0.1082,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00298,0.00641,0.00241,0.00037,0.00018,4.5e-05,0.1306,157.99,3.938,7.565
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_UKOP.mseed,quakeml:eu.emsc/event/20140524_0000027,UKOP,KO,,HNE,strong_motion,0.00077,0.1501,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00143,0.00288,0.00087,0.00026,0.00036,1.7e-05,0.1023,166.57,0.224,10.402
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20150528_0000043_BODT.mseed,quakeml:eu.emsc/event/20150528_0000043,BODT,KO,,BHE,broadband,1e-05,0.0012,3.57,2015-05-28T13:00:03.300000Z,,0.087,,50.0,210.0,0,0.0,False,True,True,False,True,,1e-05,3e-05,3e-05,1e-05,1e-05,0.0,0.002,97.52,1.39,7.405
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20150528_0000043_DAT.mseed,quakeml:eu.emsc/event/20150528_0000043,DAT,KO,,BHN,broadband,4e-05,0.0039,,,,,,50.0,210.0,1,0.0952,False,True,True,False,False,has_gaps,6e-05,9e-05,6e-05,0.0001,1e-05,0.0,0.0038,49.42,1.028,5.272
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20150528_0000043_DATC.mseed,quakeml:eu.emsc/event/20150528_0000043,DATC,KO,,HNE,strong_motion,0.0009,0.0259,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00027,0.0001,0.00019,0.00012,4e-05,5.7e-05,0.2018,185.6,22.742,24.66
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20150528_0000043_MRSB.mseed,quakeml:eu.emsc/event/20150528_0000043,MRSB,KO,,HNE,strong_motion,0.00038,0.0246,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00022,0.00016,8e-05,4e-05,1e-05,2.4e-05,0.1375,188.68,33.279,29.415
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000049_HKOY.mseed,quakeml:eu.emsc/event/20151009_0000049,HKOY,KO,,HNE,strong_motion,0.00679,0.2849,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.01348,0.01157,0.01444,0.00387,0.00076,0.00037,0.2036,18.31,2.114,6.691
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000049_KUPE.mseed,quakeml:eu.emsc/event/20151009_0000049,KUPE,KO,,HNE,strong_motion,0.00557,0.342,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.01011,0.01189,0.00952,0.00416,0.0005,0.000204,0.126,8.57,2.005,7.428
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000049_RSDY.mseed,quakeml:eu.emsc/event/20151009_0000049,RSDY,KO,,BHE,broadband,0.00264,0.1918,34.45,2015-10-09T14:39:27.220000Z,,0.563,,50.0,210.0,0,0.0,False,True,True,False,True,,0.00396,0.00419,0.0074,0.00276,0.00047,0.000123,0.143,25.22,1.414,4.727
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000049_TOKT.mseed,quakeml:eu.emsc/event/20151009_0000049,TOKT,KO,,HHE,broadband,0.00357,0.2142,12.95,2015-10-09T14:39:24.420000Z,,0.468,,100.0,210.0,0,0.0,False,True,True,False,True,,0.00443,0.00769,0.00681,0.0018,0.0003,6.4e-05,0.0698,12.28,1.209,6.592
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_AGRB.mseed,quakeml:eu.emsc/event/20151009_0000101,AGRB,KO,,HHE,broadband,1e-05,0.0004,,,,,,100.0,210.0,0,0.0,False,True,True,False,False,,1e-05,0.0,0.0,0.0,0.0,0.0,0.0005,79.51,21.77,25.163
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_CLDR.mseed,quakeml:eu.emsc/event/20151009_0000101,CLDR,KO,,BHE,broadband,4e-05,0.0007,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,1e-05,0.0,0.0,0.0,0.0,0.0,0.0095,143.62,16.079,16.322
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_ERCV.mseed,quakeml:eu.emsc/event/20151009_0000101,ERCV,KO,,HNE,strong_motion,0.00098,0.0469,,,,,,100.0,210.0,3,0.0714,False,True,True,False,False,has_gaps,0.00382,0.00037,4e-05,3e-05,3e-05,2.8e-05,0.1192,111.2,8.604,15.949
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_MLAZ.mseed,quakeml:eu.emsc/event/20151009_0000101,MLAZ,KO,,HHE,broadband,2e-05,0.0051,,,,,,100.0,210.0,0,0.0,False,True,True,False,False,,2e-05,1e-05,1e-05,0.0,0.0,0.0,0.0028,176.69,39.122,25.404
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_TASB.mseed,quakeml:eu.emsc/event/20151009_0000101,TASB,KO,,HHE,broadband,1e-05,0.0002,,,,,,100.0,210.0,0,0.0,False,True,True,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,176.9,28.007,23.402
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000101_VANB.mseed,quakeml:eu.emsc/event/20151009_0000101,VANB,KO,,HHE,broadband,0.0,0.0001,,,,,,100.0,144.8,0,0.0,False,True,True,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,181.45,2.481,14.633
data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20170721_0000092_DALY.mseed,quakeml:eu.emsc/event/20170721_0000092,DALY,KO,,BHE,broadband,8e-05,0.0035,,,,,,50.0,210.0,0,0.0,False,True,True,False,False,,0.00016,0.00025,9e-05,3e-05,1e-05,0.0,0.0049,41.22,4.623,6.041
