event_id,station,network,location,channel_used,instrument_type_used,event_latitude,event_longitude,depth_km,station_latitude,station_longitude,epicentral_distance_km,hypocentral_distance_km,magnitude,mag_type,mw_estimate,time_utc,pga_g,pgv_cms,snr_db,vs30_ms,nehrp_site_class,has_strong_motion,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,file
quakeml:eu.emsc/event/20140524_0000027,TKR,KO,,HNE,strong_motion,40.4,26.28,2.0,40.9893,27.5351,124.46,124.48,5.0,mb,,2014-05-24 09:31:18.800000+00:00,0.00157,0.1082,,449.0,C,True,0.00298,0.00641,0.00241,0.00037,0.00018,4.5e-05,0.1306,157.99,3.938,7.565,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_TKR.mseed
quakeml:eu.emsc/event/20140524_0000027,GONE,KO,,HNE,strong_motion,40.4,26.28,2.0,40.0466,27.686,125.67,125.69,5.0,mb,,2014-05-24 09:31:18.800000+00:00,0.00021,0.0705,,440.0,C,True,0.00041,0.00067,0.00015,7e-05,8e-05,2e-06,0.0356,182.16,0.195,15.051,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20140524_0000027_GONE.mseed
quakeml:eu.emsc/event/20150528_0000043,DAT,KO,,BHN,broadband,35.01,26.78,2.0,36.7308,27.5767,204.36,204.37,4.5,mb,,2015-05-28 12:59:23.500000+00:00,4e-05,0.0039,,789.0,B,False,6e-05,9e-05,6e-05,0.0001,1e-05,0.0,0.0038,49.42,1.028,5.272,,,,,True,False,False,has_gaps,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20150528_0000043_DAT.mseed
quakeml:eu.emsc/event/20150528_0000043,DATC,KO,,HNE,strong_motion,35.01,26.78,2.0,36.7584,27.6602,209.96,209.97,4.5,mb,,2015-05-28 12:59:23.500000+00:00,0.0009,0.0259,,436.0,C,True,0.00027,0.0001,0.00019,0.00012,4e-05,5.7e-05,0.2018,185.6,22.742,24.66,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20150528_0000043_DATC.mseed
quakeml:eu.emsc/event/20150528_0000043,MRSB,KO,,HNE,strong_motion,35.01,26.78,2.0,36.7161,28.1969,228.67,228.68,4.5,mb,,2015-05-28 12:59:23.500000+00:00,0.00038,0.0246,,732.0,C,True,0.00022,0.00016,8e-05,4e-05,1e-05,2.4e-05,0.1375,188.68,33.279,29.415,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20150528_0000043_MRSB.mseed
quakeml:eu.emsc/event/20150528_0000043,BODT,KO,,BHE,broadband,35.01,26.78,2.0,37.0622,27.3103,233.12,233.13,4.5,mb,,2015-05-28 12:59:23.500000+00:00,1e-05,0.0012,3.57,464.0,C,False,1e-05,3e-05,3e-05,1e-05,1e-05,0.0,0.002,97.52,1.39,7.405,2015-05-28T13:00:03.300000Z,,0.087,,True,False,True,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20150528_0000043_BODT.mseed
quakeml:eu.emsc/event/20151009_0000049,TOKT,KO,,HHE,broadband,40.67,36.65,23.0,40.3173,36.5443,40.22,46.33,4.9,mb,,2015-10-09 14:39:18.500000+00:00,0.00357,0.2142,12.95,632.0,C,False,0.00443,0.00769,0.00681,0.0018,0.0003,6.4e-05,0.0698,12.28,1.209,6.592,2015-10-09T14:39:24.420000Z,,0.468,,True,False,True,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000049_TOKT.mseed
quakeml:eu.emsc/event/20151009_0000049,KUPE,KO,,HNE,strong_motion,40.67,36.65,23.0,40.8766,36.0489,55.59,60.16,4.9,mb,,2015-10-09 14:39:18.500000+00:00,0.00557,0.342,,688.0,C,True,0.01011,0.01189,0.00952,0.00416,0.0005,0.000204,0.126,8.57,2.005,7.428,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000049_KUPE.mseed
quakeml:eu.emsc/event/20151009_0000049,HKOY,KO,,HNE,strong_motion,40.67,36.65,23.0,40.892,35.9884,60.93,65.13,4.9,mb,,2015-10-09 14:39:18.500000+00:00,0.00679,0.2849,,900.0,B,True,0.01348,0.01157,0.01444,0.00387,0.00076,0.00037,0.2036,18.31,2.114,6.691,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000049_HKOY.mseed
quakeml:eu.emsc/event/20151009_0000049,RSDY,KO,,BHE,broadband,40.67,36.65,23.0,40.3971,37.3273,64.79,68.75,4.9,mb,,2015-10-09 14:39:18.500000+00:00,0.00264,0.1918,34.45,528.0,C,False,0.00396,0.00419,0.0074,0.00276,0.00047,0.000123,0.143,25.22,1.414,4.727,2015-10-09T14:39:27.220000Z,,0.563,,True,False,True,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20151009_0000049_RSDY.mseed
