event_id,station,phase_type,phase_hint,pick_time,source,fetched_at
us6000jlnf,URFA,P,Pn,2023-02-06T04:19:02.650000Z,isc_analyst,2026-09-13T08:54:28.302430+00:00
us6000jlnf,URFA,S,Sg,2023-02-06T04:19:12.730000Z,isc_analyst,2026-09-13T08:54:28.302447+00:00
us6000jlns,GAZ,P,Pg,2023-02-06T04:48:11.590000Z,isc_analyst,2026-09-13T08:54:38.754565+00:00
us6000jlns,GAZ,S,Sg,2023-02-06T04:48:21.400000Z,isc_analyst,2026-09-13T08:54:38.754582+00:00
us6000jlnu,GAZ,P,Pg,2023-02-06T04:56:11.210000Z,isc_analyst,2026-09-13T08:54:41.386564+00:00
us6000jlnu,GAZ,S,Sg,2023-02-06T04:56:16.070000Z,isc_analyst,2026-09-13T08:54:41.386578+00:00
us6000jlnv,GAZ,P,Pn,2023-02-06T05:02:06.450000Z,isc_analyst,2026-09-13T08:54:45.154671+00:00
us6000jlnv,GAZ,S,Sn,2023-02-06T05:02:19.140000Z,isc_analyst,2026-09-13T08:54:45.154686+00:00
us6000jlp1,URFA,P,Pg,2023-02-06T05:56:04.860000Z,isc_analyst,2026-09-13T08:54:52.085579+00:00
us6000jlp9,GAZ,P,Pg,2023-02-06T06:55:08.480000Z,isc_analyst,2026-09-13T08:54:56.079419+00:00
us6000jlp9,GAZ,S,Sg,2023-02-06T06:55:16.570000Z,isc_analyst,2026-09-13T08:54:56.079435+00:00
us6000jlpb,GAZ,P,Pg,2023-02-06T07:08:47.130000Z,isc_analyst,2026-09-13T08:54:58.907893+00:00
us6000jlpb,GAZ,S,Sg,2023-02-06T07:08:57.960000Z,isc_analyst,2026-09-13T08:54:58.907909+00:00
us6000jlpp,GAZ,P,Pg,2023-02-06T08:02:02.640000Z,isc_analyst,2026-09-13T08:55:04.158137+00:00
us6000jlpv,GAZ,S,Sg,2023-02-06T08:52:48.560000Z,isc_analyst,2026-09-13T08:55:07.590989+00:00
us6000jlpv,GAZ,P,Pg,2023-02-06T08:52:42.970000Z,isc_analyst,2026-09-13T08:55:07.591004+00:00
us6000jlq1,GAZ,S,Sg,2023-02-06T09:24:08.790000Z,isc_analyst,2026-09-13T08:55:13.384671+00:00
us6000jlq1,GAZ,P,Pg,2023-02-06T09:23:57.560000Z,isc_analyst,2026-09-13T08:55:13.384687+00:00
us6000jlq2,GAZ,P,Pg,2023-02-06T09:21:12.880000Z,isc_analyst,2026-09-13T08:55:16.014682+00:00
us6000jlq2,URFA,S,Sg,2023-02-06T09:21:27.190000Z,isc_analyst,2026-09-13T08:55:16.014699+00:00
us6000jlq2,URFA,P,Pn,2023-02-06T09:21:18.010000Z,isc_analyst,2026-09-13T08:55:16.014707+00:00
us6000jlqa,SARI,P,Pg,2023-02-06T10:25:01.760000Z,isc_analyst,2026-09-13T08:55:29.765940+00:00
us6000jlqm,GAZ,P,Pg,2023-02-06T10:51:10.880000Z,isc_analyst,2026-09-13T08:55:47.496525+00:00
us6000jlqr,SARI,P,Pg,2023-02-06T11:05:42.940000Z,isc_analyst,2026-09-13T08:55:51.110998+00:00
us6000jlqr,SARI,S,Sg,2023-02-06T11:05:48.210000Z,isc_analyst,2026-09-13T08:55:51.111017+00:00
us6000jlqx,GAZ,S,Sg,2023-02-06T11:12:07.630000Z,isc_analyst,2026-09-13T08:55:54.554603+00:00
us6000jlqx,GAZ,P,Pg,2023-02-06T11:11:55.650000Z,isc_analyst,2026-09-13T08:55:54.554621+00:00
us6000jlqy,GAZ,P,Pg,2023-02-06T11:01:50.010000Z,isc_analyst,2026-09-13T08:55:57.274455+00:00
us6000jlr7,SARI,S,Sg,2023-02-06T11:39:54.320000Z,isc_analyst,2026-09-13T08:56:00.534896+00:00
us6000jlr7,SARI,P,Pg,2023-02-06T11:39:48.700000Z,isc_analyst,2026-09-13T08:56:00.534912+00:00
us6000jlr9,GAZ,P,Pg,2023-02-06T11:35:43.200000Z,isc_analyst,2026-09-13T08:56:03.733174+00:00
us6000jlr9,GAZ,S,Sn,2023-02-06T11:35:55.680000Z,isc_analyst,2026-09-13T08:56:03.733190+00:00
us6000jlra,SARI,P,Pn,2023-02-06T11:51:42.880000Z,isc_analyst,2026-09-13T08:56:06.325171+00:00
us6000jlrc,SARI,S,Sg,2023-02-06T12:02:23.270000Z,isc_analyst,2026-09-13T08:56:17.360633+00:00
us6000jlrc,SARI,P,Pg,2023-02-06T12:02:18.110000Z,isc_analyst,2026-09-13T08:56:17.360650+00:00
us6000jlrg,GAZ,P,Pg,2023-02-06T12:14:02.720000Z,isc_analyst,2026-09-13T08:56:20.639702+00:00
us6000jlrg,GAZ,S,Sn,2023-02-06T12:14:14.880000Z,isc_analyst,2026-09-13T08:56:20.639720+00:00
us6000jlrj,URFA,P,Pn,2023-02-06T12:35:00.550000Z,isc_analyst,2026-09-13T08:56:24.377253+00:00
